file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19990512_1340_14.61.fits,14.61,"(1024, 10000)",PV10K,205.001710643,32.9836705446,159.968012146,16.42557761,2451310.72349,24576.0,-33.15
19990510_1400_14.61.fits,14.61,"(1024, 10000)",PV10K,210.001655502,32.983887941,159.968012121,16.42557761,2451308.7428,24576.0,-33.15
19990510_1240_14.61.fits,14.61,"(1024, 10000)",PV10K,190.001359561,32.9825790309,159.953120649,16.42557761,2451308.68739,24576.0,-33.15
19990512_1700_14.61.fits,14.61,"(1024, 10000)",PV10K,254.996992917,32.9884803831,159.94431162,16.42557761,2451310.86199,24576.0,-33.15
19990512_1550_14.61.fits,14.61,"(1024, 10000)",PV10K,237.501308632,32.9866112955,159.96339787,16.42557761,2451310.81352,24576.0,-33.15
19990510_1140_14.61.fits,14.61,"(1024, 10000)",PV10K,175.00172818,32.9820245501,159.967592673,16.42557761,2451308.64583,24576.0,-33.15
19990510_1330_14.61.fits,14.61,"(1024, 10000)",PV10K,202.501777326,32.9833282563,159.968012146,16.42557761,2451308.72202,24576.0,-33.15
19990510_1120_14.61.fits,14.61,"(1024, 10000)",PV10K,169.997616784,32.9819298021,159.967592648,16.42557761,2451308.63197,24576.0,-33.15
19990512_1510_14.61.fits,14.61,"(1024, 10000)",PV10K,227.496848419,32.9856013189,159.935083119,16.42557761,2451310.7858,24576.0,-33.15
19990510_1350_14.61.fits,14.61,"(1024, 10000)",PV10K,207.501699615,32.9836929677,159.96822187,16.42557761,2451308.73587,24576.0,-33.15
19990510_1320_14.61.fits,14.61,"(1024, 10000)",PV10K,200.001864417,32.983159215,159.968012146,16.42557761,2451308.71509,24576.0,-33.15
19990510_1250_14.61.fits,14.61,"(1024, 10000)",PV10K,192.497692787,32.9827088953,159.967382924,16.42557761,2451308.6943,24576.0,-33.15
19990512_1400_14.61.fits,14.61,"(1024, 10000)",PV10K,210.001638557,32.9840480187,159.968431594,16.42557761,2451310.73734,24576.0,-33.15
19990510_1310_14.61.fits,14.61,"(1024, 10000)",PV10K,197.501641904,32.9829994625,159.96822187,16.42557761,2451308.70817,24576.0,-33.15
19990512_1740_14.61.fits,14.61,"(1024, 10000)",PV10K,265.001803886,32.9895522863,159.975562756,16.42557761,2451310.8897,24576.0,-33.15
19990512_1440_14.61.fits,14.61,"(1024, 10000)",PV10K,219.99771601,32.984896103,159.968012146,16.42557761,2451310.76503,24576.0,-33.15
19990512_1220_14.61.fits,14.61,"(1024, 10000)",PV10K,184.997525748,32.9825357016,159.968012121,16.42557761,2451310.66806,24576.0,-33.15
19990512_1540_14.61.fits,14.61,"(1024, 10000)",PV10K,235.001605976,32.9863529502,159.967382924,16.42557761,2451310.8066,24576.0,-33.15
19990512_1640_14.61.fits,14.61,"(1024, 10000)",PV10K,250.00153292,32.9879408996,159.968431619,16.42557761,2451310.84815,24576.0,-33.15
19990510_1420_14.61.fits,14.61,"(1024, 10000)",PV10K,215.001917904,32.9843013013,159.967802397,16.42557761,2451308.75665,24576.0,-33.15
19990510_1300_14.61.fits,14.61,"(1024, 10000)",PV10K,195.001748505,32.982849343,159.967802397,16.42557761,2451308.70124,24576.0,-33.15
19990512_1320_14.61.fits,14.61,"(1024, 10000)",PV10K,200.001883912,32.9833281429,159.96822187,16.42557761,2451310.70963,24576.0,-33.15
19990512_1450_14.61.fits,14.61,"(1024, 10000)",PV10K,222.501916774,32.9851257371,159.96822187,16.42557761,2451310.77197,24576.0,-33.15
19990512_1630_14.61.fits,14.61,"(1024, 10000)",PV10K,247.49715004,32.9876711655,159.967802397,16.42557761,2451310.84121,24576.0,-33.15
19990512_1650_14.61.fits,14.61,"(1024, 10000)",PV10K,252.501415151,32.9882108034,159.96822187,16.42557761,2451310.85507,24576.0,-33.15
19990510_1230_14.61.fits,14.61,"(1024, 10000)",PV10K,187.497637887,32.9824592095,159.975143259,16.42557761,2451308.68045,24576.0,-33.15
19990512_1200_14.61.fits,14.61,"(1024, 10000)",PV10K,180.001719909,32.9823568017,159.968012146,16.42557761,2451310.65422,24576.0,-33.15
19990512_1350_14.61.fits,14.61,"(1024, 10000)",PV10K,207.497509087,32.9838547571,159.970109535,16.42557761,2451310.7304,24576.0,-33.15
19990512_1420_14.61.fits,14.61,"(1024, 10000)",PV10K,215.001896448,32.9844577179,159.96822187,16.42557761,2451310.75119,24576.0,-33.15
19990510_1150_14.61.fits,14.61,"(1024, 10000)",PV10K,177.501861269,32.9820891475,159.967802397,16.42557761,2451308.65276,24576.0,-33.15
19990512_1520_14.61.fits,14.61,"(1024, 10000)",PV10K,230.002081189,32.985847745,159.968431619,16.42557761,2451310.79275,24576.0,-33.15
19990510_1410_14.61.fits,14.61,"(1024, 10000)",PV10K,212.50162092,32.9840908382,159.967802397,16.42557761,2451308.74972,24576.0,-33.15
19990512_1250_14.61.fits,14.61,"(1024, 10000)",PV10K,192.501907851,32.9828858882,159.968012121,16.42557761,2451310.68885,24576.0,-33.15
19990512_1240_14.61.fits,14.61,"(1024, 10000)",PV10K,189.997543827,32.9827584266,159.967802397,16.42557761,2451310.68192,24576.0,-33.15
19990510_1430_14.61.fits,14.61,"(1024, 10000)",PV10K,217.497846719,32.9845185177,159.973465342,16.42557761,2451308.76357,24576.0,-33.15
19990512_1600_14.61.fits,14.61,"(1024, 10000)",PV10K,239.997250324,32.9868724255,159.962978397,16.42557761,2451310.82043,24576.0,-33.15
19990510_1220_14.61.fits,14.61,"(1024, 10000)",PV10K,185.001909102,32.9823503903,159.964236816,16.42557761,2451308.67354,24576.0,-33.15
19990512_1500_14.61.fits,14.61,"(1024, 10000)",PV10K,225.0016331,32.985360969,159.96822187,16.42557761,2451310.77889,24576.0,-33.15
19990510_1130_14.61.fits,14.61,"(1024, 10000)",PV10K,172.501919116,32.9819714258,159.967802397,16.42557761,2451308.6389,24576.0,-33.15
19990510_1210_14.61.fits,14.61,"(1024, 10000)",PV10K,182.501823708,32.9822522187,159.967802397,16.42557761,2451308.66661,24576.0,-33.15
19990512_1430_14.61.fits,14.61,"(1024, 10000)",PV10K,217.501889954,32.9846736669,159.968012146,16.42557761,2451310.75812,24576.0,-33.15
19990512_1300_14.61.fits,14.61,"(1024, 10000)",PV10K,194.997601181,32.9830231537,159.967802397,16.42557761,2451310.69577,24576.0,-33.15
19990512_1310_14.61.fits,14.61,"(1024, 10000)",PV10K,197.501668999,32.9831708969,159.96822187,16.42557761,2451310.70271,24576.0,-33.15
19990510_1340_14.61.fits,14.61,"(1024, 10000)",PV10K,204.997905213,32.983506008,159.986888672,16.42557761,2451308.72894,24576.0,-33.15
19990512_1610_14.61.fits,14.61,"(1024, 10000)",PV10K,242.501330181,32.9871370953,159.971577702,16.42557761,2451310.82737,24576.0,-33.15
19990512_1330_14.61.fits,14.61,"(1024, 10000)",PV10K,202.501789022,32.983494791,159.968012146,16.42557761,2451310.71656,24576.0,-33.15
19990510_1200_14.61.fits,14.61,"(1024, 10000)",PV10K,180.001675675,32.9821650785,159.967382924,16.42557761,2451308.65968,24576.0,-33.15
19990510_1440_14.61.fits,14.61,"(1024, 10000)",PV10K,220.001719718,32.9847431599,159.968641368,16.42557761,2451308.7705,24576.0,-33.15
19990512_1730_14.61.fits,14.61,"(1024, 10000)",PV10K,262.497519783,32.9892863317,159.974723786,16.42557761,2451310.88276,24576.0,-33.15
19990512_1410_14.61.fits,14.61,"(1024, 10000)",PV10K,212.501917204,32.9842490445,159.968221895,16.42557761,2451310.74426,24576.0,-33.15
